Topic,Count,Name,Representation,Representative_Docs
-1,289,-1_the_of_battery_and,"['the', 'of', 'battery', 'and', 'unit', 'is', 'with', 'for', 'an', 'system']","['DEVICE FOR HEATING A TRACTION BATTERY AND METHOD FOR OPERATING A TRACTION BATTERY The invention relates to a device (5) for heating a traction battery (2) of a vehicle, comprising: at least one rechargeable battery (6); at least one heating unit (7, 8, 9) that can be arranged at a part of the traction battery (2); at least one control unit (10) for controlling electric energy supply from the rechargeable battery (6) to the heating unit (7, 8, 9); and at least one detection unit (11) connected with the control unit (10) for detecting at least one environmental parameter, at least one parameter of the traction battery (2) and/or at least one parameter of the rechargeable battery (6), wherein the control unit (10) controls the electric energy supply according to the parameters detected by the detection unit (11).', 'DEVICE FOR HEATING A TRACTION BATTERY AND METHOD FOR OPERATING A TRACTION BATTERY The invention relates to a device (5) for heating a traction battery (2) of a vehicle, comprising: at least one rechargeable battery (6); at least one heating unit (7, 8, 9) that can be arranged at a part of the traction battery (2); at least one control unit (10) for controlling electric energy supply from the rechargeable battery (6) to the heating unit (7, 8, 9); and at least one detection unit (11) connected with the control unit (10) for detecting at least one environmental parameter, at least one parameter of the traction battery (2) and/or at least one parameter of the rechargeable battery (6), wherein the control unit (10) controls the electric energy supply according to the parameters detected by the detection unit (11).', 'DEVICE FOR HEATING A TRACTION BATTERY AND METHOD FOR OPERATING A TRACTION BATTERY The invention relates to a device (5) for heating a traction battery (2) of a vehicle, comprising: at least one rechargeable battery (6); at least one heating unit (7, 8, 9) that can be arranged at a part of the traction battery (2); at least one control unit (10) for controlling electric energy supply from the rechargeable battery (6) to the heating unit (7, 8, 9); and at least one detection unit (11) connected with the control unit (10) for detecting at least one environmental parameter, at least one parameter of the traction battery (2) and/or at least one parameter of the rechargeable battery (6), wherein the control unit (10) controls the electric energy supply according to the parameters detected by the detection unit (11).']"
0,1756,0_battery_the_of_and,"['battery', 'the', 'of', 'and', 'method', 'is', 'in', 'to', 'for', 'system']","['Electricity or the energy storage system for hybrid vehicles PROBLEM TO BE SOLVED: To provide a battery load leveling system applicable to a hybrid or electric vehicle.  SOLUTION: A battery load leveling system for an electrically powered system in which a battery is subject to intermittent high current loading, and the system includes a first battery, a second battery, and a load coupled to the batteries. The system also includes: a passive storage device; a unidirectional conducting apparatus coupled in a series electrical circuit with the passive storage device and poled to conduct current from the passive storage device to the load, the series electrical circuit coupled in parallel with the battery such that the passive storage device provides current to the load when the battery terminal voltage is lower than voltage on the passive storage device; and a battery switching circuit that connects the first and second batteries in a lower voltage parallel arrangement or a higher voltage series arrangement.', 'The vehicle carrying a battery system and a battery system PROBLEM TO BE SOLVED: To detect ion path cutoff in an all-solid-state battery having a negative electrode active material layer containing lithium metal.  SOLUTION: A battery system 5 includes: an all-solid-state battery 10; a voltage detection device 65 for detecting a voltage of the all-solid-state battery; a voltage detection device 66 for detecting a current flowing from the all-solid-state battery; and a control device 50 for controlling the all-solid-state battery. The negative electrode active material layer is made of lithium metal. The control device includes the steps of: calculating the change amount of charging rate as a first estimate based on an integrated value obtained by integrating the detected current over a predetermined calculation period; calculating the change amount of charging rate as a second estimate based on the detected voltage in a calculated period; and determining that abnormality occurs in the all-solid-sate battery when the difference between the first estimate and the second estimate is equal to or more than a reference value set in advance.  SELECTED DRAWING: Figure 8', 'Electricity or the energy storage system for hybrid vehicles PROBLEM TO BE SOLVED: To provide a battery load leveling system that may be utilized with a hybrid or electric vehicle.  SOLUTION: A battery load leveling system for an electrically powered system in which a battery is subject to intermittent high current loading, includes a first battery, a second battery, and a load coupled to the batteries. The system includes: a passive storage device; a unidirectional conducting apparatus coupled in series electrical circuit with the passive storage device and poled to conduct current from the passive storage device to the load, the series electrical circuit coupled in parallel with the battery such that the passive storage device provides current to the load when the battery terminal voltage is less than the voltage on the passive storage device; and a battery switching circuit that connects the first and second batteries in either a lower voltage parallel arrangement or a higher voltage series arrangement.  SELECTED DRAWING: Figure 3']"
1,272,1_resonant_coupling_receiver_aerosol,"['resonant', 'coupling', 'receiver', 'aerosol', 'pwm', 'transmitter', 'device', 'alternating', 'configured', 'oscillating']","['Induction-based aerosol delivery device An aerosol delivery device is provided that includes a substrate configured to carry an aerosol precursor composition, and a resonant transformer including a transmitter coupling device and a resonant receiver coupling device that is positioned in proximity to the substrate. The aerosol delivery device also includes a pulse width modulation (PWM) inverter configured to drive the resonant transformer. The PWM inverter includes a bridge circuit coupled to the transmitter coupling device, and a PWM controller embodied as an integrated circuit and configured to output a PWM signal to the bridge circuit configured to drive the transmitter coupling device to generate an oscillating magnetic field and induce an alternating voltage in the resonant receiver coupling device when exposed to the oscillating magnetic field. The alternating voltage causes the resonant receiver coupling device to generate heat and thereby vaporize components of the aerosol precursor composition.', 'Induction-based aerosol delivery device An aerosol delivery device is provided that includes a substrate configured to carry an aerosol precursor composition, and a resonant transformer including a transmitter coupling device and a resonant receiver coupling device that is positioned in proximity to the substrate. The aerosol delivery device also includes a pulse width modulation (PWM) inverter configured to drive the resonant transformer. The PWM inverter includes a bridge circuit coupled to the transmitter coupling device, and a PWM controller embodied as an integrated circuit and configured to output a PWM signal to the bridge circuit configured to drive the transmitter coupling device to generate an oscillating magnetic field and induce an alternating voltage in the resonant receiver coupling device when exposed to the oscillating magnetic field. The alternating voltage causes the resonant receiver coupling device to generate heat and thereby vaporize components of the aerosol precursor composition.', 'INDUCTION-BASED AEROSOL DELIVERY DEVICE An aerosol delivery device is provided that includes a substrate configured to carry an aerosol precursor composition, and a resonant transformer including a transmitter coupling device and a resonant receiver coupling device that is positioned in proximity to the substrate. The aerosol delivery device also includes a pulse width modulation (PWM) inverter configured to drive the resonant transformer. The PWM inverter includes a bridge circuit coupled to the transmitter coupling device, and a PWM controller embodied as an integrated circuit and configured to output a PWM signal to the bridge circuit configured to drive the transmitter coupling device to generate an oscillating magnetic field and induce an alternating voltage in the resonant receiver coupling device when exposed to the oscillating magnetic field. The alternating voltage causes the resonant receiver coupling device to generate heat and thereby vaporize components of the aerosol precursor composition.']"
2,168,2_humidity_pressure_sensor_delivery,"['humidity', 'pressure', 'sensor', 'delivery', 'corresponding', 'aerosol', 'signal', 'digital', 'relative', 'functional']","['Pressure sensing for an aerosol delivery device An aerosol delivery device is provided. The aerosol delivery device comprises a control component and a digital pressure sensor. The digital pressure sensor is configured to measure a pressure imposed thereon, and generate a corresponding signal that indicates the pressure so measured. The control component or the digital pressure sensor is further configured to control at least one functional element of the aerosol delivery device based on the pressure indicated by the corresponding signal, or a condition of the aerosol delivery device or a user thereof determined from the corresponding signal. Control of the at least one functional element includes output of the pressure or the condition for presentation by a display.', 'PRESSURE SENSING FOR AN AEROSOL DELIVERY DEVICE An aerosol delivery device is provided. The aerosol delivery device comprises a control component and a digital pressure sensor. The digital pressure sensor is configured to measure a pressure imposed thereon, and generate a corresponding signal that indicates the pressure so measured. The control component or the digital pressure sensor is further configured to control at least one functional element of the aerosol delivery device based on the pressure indicated by the corresponding signal, or a condition of the aerosol delivery device or a user thereof determined from the corresponding signal. Control of the at least one functional element includes output of the pressure or the condition for presentation by a display.', 'Pressure sensing for an aerosol delivery device An aerosol delivery device is provided. The aerosol delivery device comprises a control component and a digital pressure sensor. The digital pressure sensor is configured to measure a pressure imposed thereon, and generate a corresponding signal that indicates the pressure so measured. The control component or the digital pressure sensor is further configured to control at least one functional element of the aerosol delivery device based on the pressure indicated by the corresponding signal, or a condition of the aerosol delivery device or a user thereof determined from the corresponding signal. Control of the at least one functional element includes output of the pressure or the condition for presentation by a display.']"
3,156,3_source_aerosol_power_charger,"['source', 'aerosol', 'power', 'charger', 'delivery', 'housing', 'supply', 'coupled', 'precursor', 'configured']","['Charger for an aerosol delivery device A charger for an aerosol delivery device is provided. The aerosol delivery device includes a control body equipped with a power source, and a cartridge equipped with a heating element and containing an aerosol precursor composition. The control body is coupled or coupleable with the cartridge to form the aerosol delivery device. The charger comprises a housing, a connector and a power supply from which the power source is rechargeable when the charger is engaged with the control body. The connector is coupled to the housing and configured to engage the charger with the control body. The power supply comprises a photovoltaic cell configured to convert light energy to electrical energy and generate a corresponding voltage output, and a buck converter configured to step down the corresponding voltage output to a lower voltage from which the power source is rechargeable.', 'CHARGER FOR AN AEROSOL DELIVERY DEVICE A charger for an aerosol delivery device is provided. The aerosol delivery device includes a control body equipped with a power source, and a cartridge equipped with a heating element and containing an aerosol precursor composition. The control body is coupled or coupleable with the cartridge to form the aerosol delivery device. The charger comprises a housing, a connector and a power supply from which the power source is rechargeable when the charger is engaged with the control body. The connector is coupled to the housing and configured to engage the charger with the control body. The power supply comprises a photovoltaic cell configured to convert light energy to electrical energy and generate a corresponding voltage output, and a buck converter configured to step down the corresponding voltage output to a lower voltage from which the power source is rechargeable.', 'Charger for an aerosol delivery device A charger for an aerosol delivery device is provided. The aerosol delivery device includes a control body equipped with a power source, and a cartridge equipped with a heating element and containing an aerosol precursor composition. The control body is coupled or coupleable with the cartridge to form the aerosol delivery device. The charger comprises a housing, a connector and a power supply from which the power source is rechargeable when the charger is engaged with the control body. The connector is coupled to the housing and configured to engage the charger with the control body. The power supply comprises a photovoltaic cell configured to convert light energy to electrical energy and generate a corresponding voltage output, and a buck converter configured to step down the corresponding voltage output to a lower voltage from which the power source is rechargeable.']"
4,128,4_smoking_product_use_action,"['smoking', 'product', 'use', 'action', 'instrument', 'characteristic', 'structured', 'article', 'behavior', 'compartment']","['DEVICE FOR TRACKING THE USE AND OPERATION OF THE PRODUCT A product use and behavior instrument includes a housing defining a central compartment therein. A controller is positioned within the central compartment. The controller includes a connector. The connector is configured to operatively and removably couple the product use and behavior instrument to an electronic smoking article. The electronic smoking article includes a heating element to heat a tobacco product. The electronic smoking article includes a battery. A sensor circuit is structured to collect at least one use data characteristic of a smoking action. The smoking action is associated with use of at least one of the heating element and battery. Local memory is structured to store the at least one use data characteristic of the smoking action. A communication interface is structured to communicate the stored at least one use data characteristic of the smoking action to a remote computing device.', 'DEVICE FOR TRACKING THE USE AND OPERATION OF THE PRODUCT A product use and behavior instrument includes a housing defining a central compartment therein. A controller is positioned within the central compartment. The controller includes a connector. The connector is configured to operatively and removably couple the product use and behavior instrument to an electronic smoking article. The electronic smoking article includes a heating element to heat a tobacco product. The electronic smoking article includes a battery. A sensor circuit is structured to collect at least one use data characteristic of a smoking action. The smoking action is associated with use of at least one of the heating element and battery. Local memory is structured to store the at least one use data characteristic of the smoking action. A communication interface is structured to communicate the stored at least one use data characteristic of the smoking action to a remote computing device.', 'DEVICE FOR TRACKING THE USE AND OPERATION OF THE PRODUCT A product use and behavior instrument includes a housing defining a central compartment therein. A controller is positioned within the central compartment. The controller includes a connector. The connector is configured to operatively and removably couple the product use and behavior instrument to an electronic smoking article. The electronic smoking article includes a heating element to heat a tobacco product. The electronic smoking article includes a battery. A sensor circuit is structured to collect at least one use data characteristic of a smoking action. The smoking action is associated with use of at least one of the heating element and battery. Local memory is structured to store the at least one use data characteristic of the smoking action. A communication interface is structured to communicate the stored at least one use data characteristic of the smoking action to a remote computing device.']"
5,78,5_cartridge_microprocessor_body_coupled,"['cartridge', 'microprocessor', 'body', 'coupled', 'mode', 'supercapacitor', 'control', 'active', 'with', 'power']","['Power supply for an aerosol delivery device A control body is coupled or coupleable with a cartridge to form an aerosol delivery device, with the cartridge being equipped with a heating element. The control body includes a power source and a microprocessor. The power source is connected to an electrical load that includes the heater when the control body is coupled with the cartridge, and includes a supercapacitor configured to provide power to the electrical load. The microprocessor is configured to operate in an active mode in which the control body is coupled with the cartridge. In the active mode, the microprocessor is configured to direct power from the supercapacitor to the heating element to activate and vaporize components of the aerosol precursor composition.', 'Power supply for an aerosol delivery device A control body is coupled or coupleable with a cartridge to form an aerosol delivery device, with the cartridge being equipped with a heating element. The control body includes a power source and a microprocessor. The power source is connected to an electrical load that includes the heater when the control body is coupled with the cartridge, and includes a supercapacitor configured to provide power to the electrical load. The microprocessor is configured to operate in an active mode in which the control body is coupled with the cartridge. In the active mode, the microprocessor is configured to direct power from the supercapacitor to the heating element to activate and vaporize components of the aerosol precursor composition.', 'Power supply for an aerosol delivery device A control body is coupled or coupleable with a cartridge to form an aerosol delivery device, with the cartridge being equipped with a heating element. The control body includes a power source and a microprocessor. The power source is connected to an electrical load that includes the heater when the control body is coupled with the cartridge, and includes a supercapacitor configured to provide power to the electrical load. The microprocessor is configured to operate in an active mode in which the control body is coupled with the cartridge. In the active mode, the microprocessor is configured to direct power from the supercapacitor to the heating element to activate and vaporize components of the aerosol precursor composition.']"
6,60,6_nan___,"['nan', '', '', '', '', '', '', '', '', '']","['nan nan', 'nan nan', 'nan nan']"
7,59,7_nan_allsolid_allsolidstate_lithium,"['nan', 'allsolid', 'allsolidstate', 'lithium', 'ion', 'apparatus', 'secondary', 'battery', 'tracking', 'test']","['Secondary battery system nan', 'Secondary battery system nan', 'Secondary battery system nan']"
8,50,8_energy_storage_string_module,"['energy', 'storage', 'string', 'module', 'switching', 'ess', 'at', 'change', 'unit', 'modular']","['MODULAR ENERGY STORAGE SYSTEM An energy storage system has at least one string of N modules where each module comprises an energy storage device, and a switching unit for either serially connecting the energy storage device into the string or for providing a short circuit. The energy storage system further comprises a controller configured to perform during on-load operation of the ESS the steps of: changing the state of at least one switching unit of a module; measure a current and a voltage at the energy storage device of the module, and determine characteristics of the energy storage device P on basis of at least a current through the string and the change over time of said voltage measured before and after change of the state of a switching unit.', 'MODULAR ENERGY STORAGE SYSTEM An energy storage system has at least one string of N modules where each module comprises an energy storage device, and a switching unit for either serially connecting the energy storage device into the string or for providing a short circuit. The energy storage system further comprises a controller configured to perform during on-load operation of the ESS the steps of: changing the state of at least one switching unit of a module; measure a current and a voltage at the energy storage device of the module, and determine characteristics of the energy storage device P on basis of at least a current through the string and the change over time of said voltage measured before and after change of the state of a switching unit.', 'MODULAR ENERGY STORAGE SYSTEM An energy storage system has at least one string of N modules where each module comprises an energy storage device, and a switching unit for either serially connecting the energy storage device into the string or for providing a short circuit. The energy storage system further comprises a controller configured to perform during on-load operation of the ESS the steps of: changing the state of at least one switching unit of a module; measure a current and a voltage at the energy storage device of the module, and determine characteristics of the energy storage device P on basis of at least a current through the string and the change over time of said voltage measured before and after change of the state of a switching unit.']"
