Topic,Keyword,Score
-1,material,0.04463399968508279
-1,and,0.037651320873353204
-1,the,0.028435654011066284
-1,element,0.028409336677717317
-1,electrolyte,0.02753789130612053
-1,to,0.027144236264663557
-1,solid,0.02703523883679268
-1,of,0.025567223161222705
-1,one,0.02516249844003723
-1,sodium,0.024792695214855012
0,sulfide,0.06025064498824668
0,glass,0.05389863745215932
0,the,0.034680093910353336
0,solid,0.033634982488471195
0,of,0.033585855930524995
0,electrolyte,0.03141923922170115
0,method,0.030202349785520822
0,03deg,0.024140781949505342
0,and,0.02341410685330584
0,ion,0.023095281242302357
1,and,0.03627236527288478
1,preferably,0.034271033879408164
1,is,0.03317785485397241
1,the,0.0307310198642185
1,at,0.030431017827256508
1,cation,0.02781857311258618
1,an,0.027197324792554316
1,phase,0.026608938288223673
1,electrolyte,0.02656054459056497
1,lithium,0.026352443497016154
2,complex,0.12963367441635096
2,oxide,0.10844565742439297
2,phosphorous,0.08319516774336384
2,precursor,0.08054339408466098
2,powder,0.06983854852586519
2,phosphorus,0.06499806504239514
2,lithium,0.05828763330152103
2,method,0.04921589255683946
2,manufacturing,0.04778057773602149
2,of,0.04617161080158944
3,source,0.06039690055305641
3,the,0.04824346717485685
3,compound,0.03886411129486714
3,metal,0.03674349883786951
3,and,0.03599384828858246
3,substantially,0.030925409049269995
3,of,0.03079655746868128
3,solubility,0.03012354371910606
3,ppm,0.028268362221218455
3,for,0.02803535538898912
4,sheet,0.12127328542842948
4,green,0.11773493872503088
4,laminate,0.06625192530366891
4,positive,0.06369540056015002
4,electrode,0.05719708412024191
4,secondary,0.0569653165971598
4,battery,0.052901587108133516
4,provided,0.05106860909360035
4,sintering,0.04906755713136962
4,property,0.04528659520459871
5,conductor,0.13102044321547107
5,ion,0.1093325816951252
5,lithium,0.09342542376418667
5,electrochemical,0.07713007696531737
5,first,0.07325345733591575
5,second,0.07198807183429623
5,cell,0.06010490164581141
5,conductivity,0.05308903983637154
5,solid,0.05039424106855581
5,device,0.04139705184465597
6,phase,0.06268835980031152
6,is,0.05327802100464818
6,residual,0.05267568352244905
6,as,0.04859577099654031
6,cation,0.04714245097984147
6,ionconducting,0.04605554187510542
6,wherein,0.04595784454243429
6,selected,0.045232057375912606
6,greater,0.044972650827221725
6,present,0.04333135311532433
7,glasses,0.145164518413903
7,alkali,0.13286412871670963
7,selenogermanate,0.1046739229981699
7,or,0.0767025953516656
7,medium,0.07164332962842714
7,chalcogenide,0.07037641476167696
7,mobility,0.07024704625625033
7,are,0.07013866383265056
7,such,0.06909173641930158
7,na,0.06759696529051579
8,nan,0.25797973947792624
8,sulfide,0.17796572420538573
8,solid,0.11463059260204729
8,manufacturing,0.11423984198008298
8,electrolyte,0.10597145454416844
8,method,0.09766740641609285
8,crystalline,0.06709472039498887
8,material,0.06389910211325955
8,battery,0.0519932494174032
8,allsolidstate,0.04319763313102905
9,sulfide,0.06949208382708492
9,solid,0.058144326438913554
9,electrolyte,0.05088287540757798
9,of,0.03875462888045185
9,layer,0.03518692126309004
9,line,0.03449140520972616
9,the,0.03234441660532776
9,battery,0.031067422498541036
9,element,0.0308782825071829
9,atoms,0.02989578618291342
10,nan,1.8591366008028813
10,solid,0.15415838315447739
10,electrolyte,0.14760309740080604
10,conductive,0.09422014548707298
10,ion,0.0497698770414884
10,lithium,0.041220118287165874
10,,1e-05
10,,1e-05
10,,1e-05
10,,1e-05
11,garnetlike,0.11539021560738141
11,cation,0.11346644311568038
11,preferably,0.0923577819220023
11,crystal,0.08727786276787246
11,scm,0.07882275309431223
11,is,0.07782991633076818
11,having,0.07701612570824336
11,ceramic,0.07379418712168558
11,main,0.07312036159981737
11,least,0.07000807220587697
12,slurry,0.0816731232569009
12,wet,0.07724833469601966
12,sulfidebased,0.07683523027963333
12,solvent,0.07071682933565798
12,mixture,0.06666107791801658
12,group,0.06662507075601723
12,dried,0.0627351334621288
12,by,0.05828081163317498
12,through,0.057936251022014745
12,process,0.054367537169949624
13,glassceramic,0.11727257073916804
13,materials,0.08934321773763618
13,conductor,0.08696171233094065
13,conductors,0.08367531283573215
13,recycled,0.08367531283573215
