support,itemsets
0.0014661528150134047,"frozenset({'A24F', 'A61M'})"
0.0010053619302949062,"frozenset({'H01G', 'A24F'})"
0.0015080428954423592,"frozenset({'H01M', 'A24F'})"
0.003560656836461126,"frozenset({'H02J', 'A24F'})"
0.002387734584450402,"frozenset({'H05B', 'A24F'})"
0.001089142091152815,"frozenset({'H01M', 'A61B'})"
0.0010053619302949062,"frozenset({'A61L', 'C01B'})"
0.0010053619302949062,"frozenset({'H02J', 'A61M'})"
0.0010053619302949062,"frozenset({'H01M', 'B01F'})"
0.0034768766756032173,"frozenset({'H01M', 'B01J'})"
0.0017174932975871314,"frozenset({'H01M', 'B05C'})"
0.0048173592493297585,"frozenset({'H01M', 'B05D'})"
0.003183646112600536,"frozenset({'H01M', 'B22F'})"
0.0012985924932975871,"frozenset({'H01M', 'B23K'})"
0.0018012734584450401,"frozenset({'B25F', 'H01M'})"
0.0010472520107238606,"frozenset({'B29C', 'B33Y'})"
0.002262064343163539,"frozenset({'B29C', 'H01M'})"
0.001382372654155496,"frozenset({'B30B', 'H01M'})"
0.003183646112600536,"frozenset({'H01G', 'B32B'})"
0.008252345844504022,"frozenset({'H01M', 'B32B'})"
0.0017174932975871314,"frozenset({'H01M', 'B33Y'})"
0.001675603217158177,"frozenset({'B60K', 'B60L'})"
0.0022201742627345846,"frozenset({'H01M', 'B60K'})"
0.007288873994638069,"frozenset({'H01M', 'B60L'})"
0.0038957774798927614,"frozenset({'B60L', 'H02J'})"
0.0066605227882037535,"frozenset({'H01M', 'B82Y'})"
0.003057975871313673,"frozenset({'C01D', 'C01B'})"
0.0019269436997319035,"frozenset({'C01F', 'C01B'})"
0.007330764075067024,"frozenset({'C01G', 'C01B'})"
0.0017174932975871314,"frozenset({'C01B', 'C03C'})"
0.0033093163538873995,"frozenset({'C04B', 'C01B'})"
0.018724865951742626,"frozenset({'H01B', 'C01B'})"
0.0015080428954423592,"frozenset({'H01G', 'C01B'})"
0.053451742627345845,"frozenset({'H01M', 'C01B'})"
0.001591823056300268,"frozenset({'C01G', 'C01D'})"
0.0014661528150134047,"frozenset({'C01D', 'H01B'})"
0.008168565683646113,"frozenset({'C01D', 'H01M'})"
0.003560656836461126,"frozenset({'C01G', 'C01F'})"
0.004482238605898124,"frozenset({'H01B', 'C01F'})"
0.00841990616621984,"frozenset({'H01M', 'C01F'})"
0.005152479892761394,"frozenset({'C01G', 'C04B'})"
0.008084785522788204,"frozenset({'C01G', 'H01B'})"
0.03874832439678284,"frozenset({'C01G', 'H01M'})"
0.001591823056300268,"frozenset({'C03B', 'C03C'})"
0.0018012734584450401,"frozenset({'H01M', 'C03B'})"
0.004021447721179625,"frozenset({'H01B', 'C03C'})"
0.009718498659517426,"frozenset({'H01M', 'C03C'})"
0.006492962466487936,"frozenset({'C04B', 'H01B'})"
0.017677613941018768,"frozenset({'C04B', 'H01M'})"
0.0011310321715817695,"frozenset({'H01M', 'C07C'})"
0.0018431635388739946,"frozenset({'H01M', 'C07D'})"
0.0027228552278820376,"frozenset({'H01M', 'C07F'})"
0.0012985924932975871,"frozenset({'C08F', 'C08G'})"
0.0012567024128686327,"frozenset({'C08F', 'C08J'})"
0.002974195710455764,"frozenset({'C08F', 'C08K'})"
0.004230898123324397,"frozenset({'C08F', 'C08L'})"
0.0015499329758713136,"frozenset({'H01B', 'C08F'})"
0.0012567024128686327,"frozenset({'H01G', 'C08F'})"
0.011394101876675604,"frozenset({'H01M', 'C08F'})"
0.0015499329758713136,"frozenset({'C08G', 'C08J'})"
0.0020107238605898124,"frozenset({'C08G', 'C08L'})"
0.0015499329758713136,"frozenset({'H01B', 'C08G'})"
0.00841990616621984,"frozenset({'H01M', 'C08G'})"
0.001675603217158177,"frozenset({'C08J', 'C08K'})"
0.003183646112600536,"frozenset({'C08L', 'C08J'})"
0.0012567024128686327,"frozenset({'H01B', 'C08J'})"
0.006283512064343163,"frozenset({'H01M', 'C08J'})"
0.005738941018766756,"frozenset({'C08L', 'C08K'})"
0.0016337131367292225,"frozenset({'H01B', 'C08K'})"
0.0014661528150134047,"frozenset({'H01G', 'C08K'})"
0.004901139410187667,"frozenset({'H01M', 'C08K'})"
0.002974195710455764,"frozenset({'H01B', 'C08L'})"
0.002052613941018767,"frozenset({'H01G', 'C08L'})"
0.009257707774798927,"frozenset({'H01M', 'C08L'})"
0.0010472520107238606,"frozenset({'C09D', 'H01M'})"
0.00255529490616622,"frozenset({'H01M', 'C09J'})"
0.001089142091152815,"frozenset({'H01M', 'C09K'})"
0.0018012734584450401,"frozenset({'H01M', 'C22B'})"
0.001885053619302949,"frozenset({'H01M', 'C22C'})"
0.009969839142091153,"frozenset({'H01M', 'C23C'})"
0.0011310321715817695,"frozenset({'C25D', 'C23F'})"
0.0011310321715817695,"frozenset({'H01M', 'C25B'})"
0.0026390750670241287,"frozenset({'H01M', 'C25D'})"
0.0010053619302949062,"frozenset({'H01M', 'C30B'})"
0.0012148123324396782,"frozenset({'H01M', 'D04H'})"
0.0012985924932975871,"frozenset({'G01N', 'G01R'})"
0.0048173592493297585,"frozenset({'G01N', 'H01M'})"
0.008294235924932976,"frozenset({'H01M', 'G01R'})"
0.003770107238605898,"frozenset({'G01R', 'H02J'})"
0.0030998659517426272,"frozenset({'H01M', 'G06F'})"
0.0015080428954423592,"frozenset({'G06F', 'H02J'})"
0.002262064343163539,"frozenset({'H01G', 'H01B'})"
0.07192526809651474,"frozenset({'H01M', 'H01B'})"
0.029909517426273458,"frozenset({'H01M', 'H01G'})"
0.002764745308310992,"frozenset({'H01M', 'H01L'})"
0.014912868632707774,"frozenset({'H01M', 'H02J'})"
0.0014242627345844505,"frozenset({'H05B', 'H01M'})"
0.0013404825737265416,"frozenset({'H01M', 'H05K'})"
0.001885053619302949,"frozenset({'H01M', 'H10N'})"
0.0012148123324396782,"frozenset({'H02J', 'H02M'})"
0.0017593833780160859,"frozenset({'H05B', 'H02J'})"
